stim_id,stim_type,restr_men,restr_max,spill_region,restr_men_type,restr_max_type,comp_left,comp_right,comp_correct,comp_type,Context,CHUNK1,CHUNK2,CHUNK3,CHUNK4,comp_q,EXCEPTIVE,RestrictorType,ExceptivePosition,Condition
101,fill,in China,in Beijing,so I made some nice memories.,city,country,the most expansive,the deepest,j,ADJ,"I've just returned from a well-earned break in Beijing. I was really shocked. Allegedly,",I took a boat trip on,the deepest,lake,"in China,",What type of lake did I do a trip on?,FILL,FILL,FILL,FILL
102,fill,in Canada,in Ottawa,so I really enjoyed it.,city,country,the most intriguing,the most authentic,j,ADJ,"I got home yesterday from a week-long trip in Ottawa. You won't believe it! Apparently,",I got to taste,the most authentic,gelato,"in Canada,",What kind of gelato did I get to taste?,FILL,FILL,FILL,FILL
103,fill,in Russia,in St. Petersburg,so it was a lovely time.,city,country,the least fashionable,the most fashionable,j,ADJ,"I'm just back from a lovely two-week stay in St. Petersburg. I'm really pleased! According to locals,",I bought,the most fashionable,jacket,"in Russia,",What type of jacket did I buy?,FILL,FILL,FILL,FILL
104,fill,in Australia,in Perth,so I made some nice memories.,city,country,the craziest,the fanciest,j,ADJ,"I've just returned from a great holiday in Perth. I was really shocked. According to my friends,",I got a room at,the fanciest,boutique hotel,"in Australia,",What kind of boutique hotel did I get a room at?,FILL,FILL,FILL,FILL
105,fill,in Sweden,in Gothenburg,so I really enjoyed it.,city,country,the longest,the fastest,j,ADJ,"I got home yesterday from a short vacation in Gothenburg. You won't believe it! Allegedly,",I went down,the fastest,waterslide,"in Sweden,",What type of waterslide did I go down?,FILL,FILL,FILL,FILL
106,fill,in Brazil,in Rio de Janeiro,so it was a lovely time.,city,country,the easiest,the most difficult,j,ADJ,"I'm just back from a well-earned break in Rio de Janeiro. I'm really pleased! Apparently,",I did,the most difficult,trek,"in Brazil,",What kind of trek did I do?,FILL,FILL,FILL,FILL
107,fill,in India,in Delhi,so I made some nice memories.,city,country,the most traditional,the cheapest,j,ADJ,"I've just returned from a week-long trip in Delhi. I was really shocked. According to locals,",I enjoyed,the cheapest,vegan food,"in India,",What type of vegan food did I enjoy?,FILL,FILL,FILL,FILL
108,fill,in Switzerland,in Zürich,so I really enjoyed it.,city,country,the least popular,the most alcoholic,j,ADJ,"I got home yesterday from a lovely two-week stay in Zürich. You won't believe it! According to my friends,",I ordered,the most alcoholic,cocktail,"in Switzerland,",What kind of cocktail did I order?,FILL,FILL,FILL,FILL
109,fill,in Greece,in Corfu,so I'm glad I went.,city,country,the longest,the most scenic,j,ADJ,"I'm just back from a great holiday in Corfu. I'm really pleased! Allegedly,",I went on,the most scenic,boat trip,"in Greece,",What type of boat trip did I go on?,FILL,FILL,FILL,FILL
110,fill,in Colombia,in Cartagena,so it was a lovely time.,city,country,the most beautiful,the most romantic,j,ADJ,"I've just returned from a short vacation in Cartagena. I was really shocked. Apparently,",I got to see,the most romantic,sunsets,"in Colombia,",What kind of sunsets did I get to see?,FILL,FILL,FILL,FILL
111,fill,in Thailand,in Phuket,so I made some nice memories.,city,country,Croatia,Thailand,j,PLACE,"I got home yesterday from a well-earned break in Phuket. You won't believe it! According to locals,",I got to experience,the most vibrant,nightlife,"in Thailand,",What country did I visit?,FILL,FILL,FILL,FILL
112,fill,in Japan,in Kyoto,so I really enjoyed it.,city,country,Split,Kyoto,j,PLACE,"I'm just back from a week-long trip in Kyoto. I'm really pleased! According to my friends,",I ate,the best,sushi,"in Japan,",What city did I visit?,FILL,FILL,FILL,FILL
113,fill,in Spain,in Tenerife,so it was a lovely time.,city,country,Slovenia,Spain,j,PLACE,"I've just returned from a lovely two-week stay in Tenerife. I was really shocked. Allegedly,",I got to explore,the most convoluted,caves,"in Spain,",What country did I visit?,FILL,FILL,FILL,FILL
114,fill,in Morocco,in Rabat,so I made some nice memories.,city,country,Ljubliana,Rabat,j,PLACE,"I got home yesterday from a great holiday in Rabat. You won't believe it! Apparently,",I bought food from,the oldest,market,"in Morocco,",What city did I visit?,FILL,FILL,FILL,FILL
115,fill,in Turkey,in Antalya,so I really enjoyed it.,city,country,Cuba,Turkey,j,PLACE,"I'm just back from a short vacation in Antalya. I'm really pleased! According to locals,",I got to see,the biggest,Mosque minaret,"in Turkey,",What country did I visit?,FILL,FILL,FILL,FILL
116,fill,in Portugal,in Madeira,so I'm glad I went.,city,country,Mexico City,Madeira,j,PLACE,"I've just returned from a well-earned break in Madeira. I was really shocked. According to my friends,",I was lucky enough to try,the finest,wine,"in Portugal,",What city did I visit?,FILL,FILL,FILL,FILL
117,fill,in Ireland,in Galway,so I made some nice memories.,city,country,Cambodia,Ireland,j,PLACE,"I got home yesterday from a week-long trip in Galway. You won't believe it! Allegedly,",I went to a gig by,the most famous,band,"in Ireland,",What country did I visit?,FILL,FILL,FILL,FILL
118,fill,in Wales,in Bangor,so I really enjoyed it.,city,country,Amsterdam,Bangor,j,PLACE,"I'm just back from a lovely two-week stay in Bangor. I'm really pleased! Apparently,",I walked along,the straightest,canal path,"in Wales,",What city did I visit?,FILL,FILL,FILL,FILL
119,fill,in Hungary,in Debrecen,so it was a lovely time.,city,country,Slovakia,Hungary,j,PLACE,"I've just returned from a great holiday in Debrecen. I was really shocked. According to locals,",I got to enjoy,the most remote,hot spring,"in Hungary,",What country did I visit?,FILL,FILL,FILL,FILL
120,fill,in South Africa,in Cape Town,so I made some nice memories.,city,country,Aberdeen,Cape Town,j,PLACE,"I got home yesterday from a short vacation in Cape Town. You won't believe it! According to my friends,",I took,the most indirect,train journey,"in South Africa,",What city did I visit?,FILL,FILL,FILL,FILL
